geno	condition	lab	petiole_length
bri1	LPM	bri1_LPM	0.165 
col0	NC	col0_NC	0.503 
col0	NC	col0_NC	0.369 
col0	NC	col0_NC	0.571 
col0	NCM	col0_NCM	0.398 
col0	NCM	col0_NCM	0.754 
col0	NCM	col0_NCM	0.630 
col0	NCM	col0_NCM	0.622 
col0	NCM	col0_NCM	0.620 
col0	NCM	col0_NCM	0.441 
col0	NCM	col0_NCM	0.661 
col0	NCM	col0_NCM	0.449 
col0	NCM	col0_NCM	0.336 
col0	NCM	col0_NCM	0.619 
col0	NCM	col0_NCM	0.512 
col0	NCM	col0_NCM	0.401 
col0	NCM	col0_NCM	0.647 
col0	NCM	col0_NCM	0.777 
col0	NCM	col0_NCM	0.704 
dde2	NC	dde2_NC	0.714 
dde2	NC	dde2_NC	0.494 
dde2	NC	dde2_NC	0.684 
dde2	NC	dde2_NC	0.504 
dde2	NC	dde2_NC	0.752 
dde2	NC	dde2_NC	0.536 
dde2	NC	dde2_NC	0.681 
dde2	NC	dde2_NC	0.683 
dde2	NC	dde2_NC	0.628 
dde2	LP	dde2_LP	0.585 
dde2	LP	dde2_LP	0.632 
dde2	LP	dde2_LP	0.567 
dde2	LP	dde2_LP	0.577 
dde2	LP	dde2_LP	0.622 
dde2	LP	dde2_LP	0.543 
dde2	LP	dde2_LP	0.738 
dde2	LP	dde2_LP	0.612 
dde2	LP	dde2_LP	0.497 
bri1	NC	bri1_NC	0.340 
bri1	NC	bri1_NC	0.338 
bri1	NC	bri1_NC	0.335 
bri1	NC	bri1_NC	0.377 
bri1	NC	bri1_NC	0.368 
bri1	NC	bri1_NC	0.381 
bri1	NC	bri1_NC	0.391 
bri1	NC	bri1_NC	0.436 
bri1	NC	bri1_NC	0.395 
bri1	LP	bri1_LP	0.242 
bri1	LP	bri1_LP	0.294 
bri1	LP	bri1_LP	0.267 
bri1	LP	bri1_LP	0.248 
bri1	LP	bri1_LP	0.316 
bri1	LP	bri1_LP	0.319 
bri1	LP	bri1_LP	0.374 
sav	NC	sav_NC	0.528 
sav	NC	sav_NC	0.479 
sav	NC	sav_NC	0.450 
sav	NC	sav_NC	0.600 
sav	NC	sav_NC	0.527 
sav	NC	sav_NC	0.429 
sav	NC	sav_NC	0.475 
sav	NC	sav_NC	0.431 
sav	NC	sav_NC	0.357 
sav	LP	sav_LP	0.428 
sav	LP	sav_LP	0.426 
sav	LP	sav_LP	0.397 
sav	LP	sav_LP	0.454 
sav	LP	sav_LP	0.488 
sav	LP	sav_LP	0.419 
sav	LP	sav_LP	0.440 
sav	LP	sav_LP	0.489 
sav	LP	sav_LP	0.500 
dde2	NC	dde2_NC	0.714 
dde2	NC	dde2_NC	0.494 
dde2	NC	dde2_NC	0.684 
dde2	NC	dde2_NC	0.504 
dde2	NC	dde2_NC	0.752 
dde2	NC	dde2_NC	0.536 
dde2	NC	dde2_NC	0.681 
dde2	NC	dde2_NC	0.683 
dde2	NC	dde2_NC	0.628 
dde2	LP	dde2_LP	0.585 
dde2	LP	dde2_LP	0.632 
dde2	LP	dde2_LP	0.567 
dde2	LP	dde2_LP	0.577 
dde2	LP	dde2_LP	0.622 
dde2	LP	dde2_LP	0.543 
dde2	LP	dde2_LP	0.738 
dde2	LP	dde2_LP	0.612 
dde2	LP	dde2_LP	0.497 
col0	NCM	col0_NCM	0.541 
col0	NCM	col0_NCM	0.533 
col0	NCM	col0_NCM	0.508 
col0	NCM	col0_NCM	0.514 
col0	NCM	col0_NCM	0.652 
col0	NCM	col0_NCM	0.482 
col0	NCM	col0_NCM	0.672 
col0	NCM	col0_NCM	0.493 
col0	NCM	col0_NCM	0.500 
col0	NCM	col0_NCM	0.554 
col0	NCM	col0_NCM	0.757 
col0	NCM	col0_NCM	0.674 
col0	NCM	col0_NCM	0.685 
col0	NCM	col0_NCM	0.604 
col0	NCM	col0_NCM	0.630 
col0	NCM	col0_NCM	0.717 
col0	NCM	col0_NCM	0.746 
col0	NCM	col0_NCM	0.687 
dde2	NCM	dde2_NCM	0.688 
dde2	NCM	dde2_NCM	0.465 
dde2	NCM	dde2_NCM	0.326 
dde2	NCM	dde2_NCM	0.742 
dde2	NCM	dde2_NCM	0.502 
dde2	NCM	dde2_NCM	0.383 
dde2	NCM	dde2_NCM	0.593 
dde2	NCM	dde2_NCM	0.528 
dde2	NCM	dde2_NCM	0.462 
dde2	LPM	dde2_LPM	0.827 
dde2	LPM	dde2_LPM	0.785 
dde2	LPM	dde2_LPM	0.449 
dde2	LPM	dde2_LPM	0.358 
dde2	LPM	dde2_LPM	0.467 
dde2	LPM	dde2_LPM	0.593 
dde2	LPM	dde2_LPM	0.434 
dde2	LPM	dde2_LPM	0.461 
col0	NCM	col0_NCM	0.546 
col0	NCM	col0_NCM	0.587 
col0	NCM	col0_NCM	0.534 
col0	NCM	col0_NCM	0.603 
col0	NCM	col0_NCM	0.448 
col0	NCM	col0_NCM	0.565 
col0	NCM	col0_NCM	0.502 
col0	NCM	col0_NCM	0.442 
col0	NCM	col0_NCM	0.366 
col0	NCM	col0_NCM	0.546 
col0	NCM	col0_NCM	0.587 
col0	NCM	col0_NCM	0.534 
col0	NCM	col0_NCM	0.603 
col0	NCM	col0_NCM	0.448 
col0	NCM	col0_NCM	0.465 
col0	NCM	col0_NCM	0.502 
col0	NCM	col0_NCM	0.442 
col0	NCM	col0_NCM	0.566 
sav	NCM	sav_NCM	0.478 
sav	NCM	sav_NCM	0.322 
sav	NCM	sav_NCM	0.402 
sav	NCM	sav_NCM	0.629 
sav	NCM	sav_NCM	0.348 
sav	NCM	sav_NCM	0.341 
sav	NCM	sav_NCM	0.447 
sav	NCM	sav_NCM	0.572 
sav	NCM	sav_NCM	0.367 
bri1	NC	bri1_NC	0.340 
bri1	NC	bri1_NC	0.338 
bri1	NC	bri1_NC	0.335 
bri1	NC	bri1_NC	0.377 
bri1	NC	bri1_NC	0.368 
bri1	NC	bri1_NC	0.381 
bri1	NC	bri1_NC	0.391 
bri1	NC	bri1_NC	0.436 
bri1	NC	bri1_NC	0.395 
bri1	LP	bri1_LP	0.242 
bri1	LP	bri1_LP	0.294 
bri1	LP	bri1_LP	0.267 
bri1	LP	bri1_LP	0.248 
bri1	LP	bri1_LP	0.316 
bri1	LP	bri1_LP	0.319 
bri1	LP	bri1_LP	0.374 
sav	NC	sav_NC	0.528 
sav	NC	sav_NC	0.479 
sav	NC	sav_NC	0.450 
sav	NC	sav_NC	0.600 
sav	NC	sav_NC	0.527 
sav	NC	sav_NC	0.429 
sav	NC	sav_NC	0.475 
sav	NC	sav_NC	0.431 
sav	NC	sav_NC	0.357 
sav	LP	sav_LP	0.428 
sav	LP	sav_LP	0.426 
sav	LP	sav_LP	0.397 
sav	LP	sav_LP	0.454 
sav	LP	sav_LP	0.488 
sav	LP	sav_LP	0.419 
sav	LP	sav_LP	0.440 
sav	LP	sav_LP	0.489 
sav	LP	sav_LP	0.500 
bri1	NCM	bri1_NCM	0.456 
bri1	NCM	bri1_NCM	0.443 
bri1	NCM	bri1_NCM	0.414 
bri1	NCM	bri1_NCM	0.508 
bri1	NCM	bri1_NCM	0.462 
bri1	NCM	bri1_NCM	0.259 
bri1	NCM	bri1_NCM	0.352 
bri1	NCM	bri1_NCM	0.378 
bri1	NCM	bri1_NCM	0.360 
bri1	LPM	bri1_LPM	0.308 
bri1	LPM	bri1_LPM	0.333 
bri1	LPM	bri1_LPM	0.285 
bri1	LPM	bri1_LPM	0.345 
bri1	LPM	bri1_LPM	0.333 
bri1	LPM	bri1_LPM	0.216 
bri1	LPM	bri1_LPM	0.275 
bri1	LPM	bri1_LPM	0.296 
bri1	LPM	bri1_LPM	0.165 
